id,artist_name,genre,genre_number
26AHtbjWKiwYzsoGoUZq53,Pentatonix,Rock,18
164Uj4eKjl6zTBKfJLFKKK,JVKE,Dance Pop,7
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,Ballad,1
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,Dance Pop,7
0TnOYISbd1XYRBk9myaseg,Pitbull,Hip-Hop,11
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,Indie,12
1vCWHaC5f2uS3yhpwWbIA6,Avicii,EDM,8
0pWR7TsFhvSCnbmHDjWgrE,Creepy Nuts,Hip-Hop,11
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,Hip-Hop,11
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Dance Pop,7
6rs1KAoQnFalSqSU4LTh8g,back number,Indie Rock,13
3c0gDdb9lhnHGFtP4prQpn,KATSEYE,Hip-Hop,11
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,Indie,12
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,Indie,12
6WmXWHmfBMhupyIs8MSqtu,natori,Indie,12
0frNU3rG4ltOP4GNBA1g4j,MAKTUB,R&B,17
23zg3TcAtWQy7J6upgbUnj,USHER,R&B,17
3MZsBdqDrRTJihTHQrO6Dq,Joji,Indie,12
5y2Xq6xcjJb2jVM54GHK3t,John Legend,Ballad,1
3q7HBObVc0L8jNeTe5Gofh,50 Cent,Hip-Hop,11
540vIaP2JwjQb9dm3aArA4,DJ Snake,EDM,8
7gRg6C2qgQ1F01k3sgyEVt,SPYAIR,J-Pop,14
3l0CmX0FuQjFxr8SK7Vqag,Clairo,Indie,12
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Hip-Hop,11
5CiGnKThu5ctn9pBxv7DGa,benny blanco,R&B,17
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,Rock,18
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,R&B,17
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,Dance Pop,7
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,Dance Pop,7
21E3waRsmPlU7jZsS13rcj,Ne-Yo,R&B,17
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,EDM,8
31TPClRtHm23RisEBtV3X7,Justin Timberlake,R&B,17
6U3ybJ9UHNKEdsH7ktGBZ7,JID,Hip-Hop,11
23fqKkggKUBHNkbKtXEls4,Kygo,EDM,8
6LqNN22kT3074XbTVUrhzX,Kesha,Dance Pop,7
5LHRHt1k9lMyONurDHEdrp,Tyga,Hip-Hop,11
4IWBUUAFIplrNtaOHcJPRM,James Arthur,Ballad,1
0z4gvV4rjIZ9wHck67ucSV,Akon,Hip-Hop,11
0lAWpj5szCSwM4rUMHYmrr,Måneskin,Rock,18
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,Rock,18
35WVTyRnKAoaGExqgktVyb,Hotel Ugly,Indie,12
70NcAr4ZtA3FAqU16iQZSb,Dhruv,Indie,12
3mIj9lX2MWuHmhNCA7LSCW,The 1975,Indie Rock,13
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,Dance Pop,7
4kYSro6naA4h99UJvo89HB,Cardi B,Hip-Hop,11
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,Indie,12
3tVQdUvClmAT7URs9V3rsp,Wizkid,R&B,17
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Ballad,1
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,Hip-Hop,11
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,R&B,17
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,Rock,18
738wLrAtLtCtFOLvQBXOXp,Major Lazer,EDM,8
5j4HeCoUlzhfWtjAfM1acR,Stromae,EDM,8
3hcs9uc56yIGFCSy9leWe7,Lil Durk,Hip-Hop,11
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,Hip-Hop,11
4r63FhuTkUYltbVAg5TQnk,DaBaby,Hip-Hop,11
4kpQdAU7yPjqtiJsFcBTBb,Rokudenashi,Hip-Hop,11
