id,title,genre,genre_number,Production Country,Release Year,Director,Plot
1662,아리랑,드라마,2,대한민국,1968,유현목,"통속,리메이크,일제강점기,일제시대,일제치하,민족의 혼,민족의식,아리랑,컬러시네마스코프"
1685,정부 마농,드라마,2,대한민국,1968,정진우,"소설원작,통속,프랑스소설원작,비극적사랑,컬러시네마스코프,번안물"
1725,자주댕기,사극,8,대한민국,1968,최인현,"통속,조선시대,이조시대,이조말엽,이조야사,종교박해,종교탄압,천주교,천주교박해,컬러시네마스코프,외국인배우출연,유배,복면,순교"
1714,악몽,사극,8,대한민국,1968,유현목,"반공영화,재일교포,북송,컬러시네마스코프,시나리오공모당선작,갯벌,동굴,탈출,포로"
3385,갑자기 불꽃처럼,멜로,3,대한민국,1979,홍파,"한국희곡원작,사각관계,비극적사랑,컬러시네마스코프,식물인간"
548,흙,멜로,3,대한민국,1960,권영순,"농촌,소설원작,일제강점기,일제시대,일제치하,한국소설원작,문예영화,농촌계몽운동,1930년대,흑백스탠다드"
2386,목숨걸고 왔수다,액션,10,대한민국,1971,전우열,"일제강점기,일제시대,일제치하,독립자금,독립운동가,독립운동,컬러시네마스코프,금고,군자금"
1688,맨발의 영광,드라마,2,대한민국,1968,김수용,"고아원,축구,축구경기,축구부,축구시합,흑백시네마스코프"
57805,메갈로매니악:연쇄살인마의 아이들,공포,1,벨기에,2022,카림 오엘하즈,
57968,홍희관 - 쿵푸마스터,무협,4,중국,2021,진목승,
1387,상궁나인,사극,8,대한민국,1966,이규웅,"궁중사극,궁녀,궁궐,조선시대,이조시대,이조중엽,이조야사,암투,흑백시네마스코프,TV연속극원작,TV드라마원작"
3090,광화문통 아이,멜로,3,대한민국,1976,이원세,"방황,삼수생,성장영화,소설원작,재수생,한국소설원작,바닷가,20대,흔들리는청춘,컬러시네마스코프"
1401,스파이 제오전선,액션,10,대한민국,1966,김시현,"간첩,반공영화,여간첩,남파간첩,조총련,흑백시네마스코프"
3335,도시의 사냥꾼,멜로,3,대한민국,1979,이경태,"고독,외로움,부부불화,부부관계,외도,이루어질수없는사랑,비련의여인,별거,건축가,불면증,동물원,컬러스탠다드,신문연재소설원작,한국소설원작,겨울"
1270,유정,멜로,3,대한민국,1966,김수용,"해외로케,일본로케,교장,교육자,이루어질수없는사랑,비극적사랑,컬러시네마스코프,1930년대,신문연재소설원작,일제강점기,일제시대,일본유학,사제지간,한국소설원작,사제간의사랑"
1391,평양기생,사극,8,대한민국,1966,이규웅,"명기,탐관오리,정절,의적,암행어사,라디오드라마원작,라디오연속극원작,동양방송,흑백시네마스코프"
1393,닐니리,사극,8,대한민국,1966,임권택,"이조시대,이조중엽,조선시대,멜로사극,삼각관계,야사,흑백시네마스코프,통속"
610,과부,멜로,3,대한민국,1960,조긍하,"과부,미망인,한국소설원작,정절,열녀,1920년대,사회관습,흑백스탠다드"
1639,순애보,멜로,3,대한민국,1968,김수용,"살인누명,교도소,사형선고,한국소설원작,순정,장님,시각장애인,시각상실,컬러시네마스코프"
621,표류도,멜로,3,대한민국,1960,권영순,"한국소설원작,미혼모,재판,법정,회상,다방마담,여성심리,흑백스탠다드,비련의여인"
3338,마지막 찻잔,멜로,3,대한민국,1979,정소영,"겨울,한국소설원작,기차,기차여행,화가,컬러스탠다드,의상디자이너,비련의여인,뒷바라지,눈,눈밭"
3206,웃음소리,멜로,3,대한민국,1978,김수용,"소설원작,한국소설원작,호스티스,수면제,순정,배신,비련의여인,컬러시네마스코프,방황,신분격차,신분차이,고시생,회상,손톱,비스타비전(Vista Vision)"
1716,흑화,드라마,2,대한민국,1968,임원직,"통속,불임,삼각관계,두집살림,첩,부부관계,부부애,부부불화,흑백시네마스코프,대리모,외도"
2332,월남에서 돌아온 김상사,드라마,2,대한민국,1971,이성구,"전우,전우애,참전군인,참전용사,베트남전참전군인,월남전참전용사,컬러시네마스코프"
2334,초원의 빛,드라마,2,대한민국,1971,이경윤,"일제강점기,일제시대,가난,농촌,농촌계몽운동,가난한부부,컬러시네마스코프"
480,인생극장,드라마,2,대한민국,1959,박구,"가족,소시민,가장,중년남자,중년의위기,가족드라마"
3361,밤이면 내리는 비,멜로,3,대한민국,1979,박철수,"권투경기,권투선수,권투시합,복싱,삼각관계,성폭행,소설원작,성폭행범,한국소설원작,복싱선수,컬러스탠다드"
3824,땡볕,사극,8,대한민국,1984,하명중,"소설원작,외도,일제시대,일확천금,조강지처,한국소설원작,단편소설원작,1930년대,떠돌이,폭행,겁탈,거짓말,배신,술집여인,병원비,임신,수술"
3812,홍병매,액션,10,대한민국,1984,김시현,"기생,복수,소실,순수혈통,자매애,중국,결혼반대,배신,양자,성적유혹,아버지와딸"
6254,메리고라운드 서커스 청년,드라마,2,대한민국,2003,김권,"여왕,줄타기,마약,서커스,돈가방,지하철,소매치기,단편영화,독립영화"
3826,사약,사극,8,대한민국,1984,김효천,"계유정란,수양대군,권력찬탈,세조대왕"
1730,몽땅 드릴까요(토끼와 포수),코메디,13,대한민국,1968,유현목,"하숙집,미망인,인형,노총각,코믹멜로"
3386,독신녀,멜로,3,대한민국,1979,문여송,"소설원작,한국소설원작,비스타비전(Vista Vision),컬러,꽃집,꽃가게,비련의여인,통속,비극적사랑,화가,오토바이,오토바이사고"
6107,돌아갈 귀(歸),드라마,2,대한민국,2000,장호준,"무당,새벽,귀신,죽음,공포,단편영화,독립영화"
1746,칠보반지,사극,8,대한민국,1968,이규웅,"라디오연속극원작,라디오드라마원작,TBC,멜로사극,후궁,반지,질투,조선시대,이조야사,사약,악녀,컬러시네마스코프,한국드라마원작"
1744,삼현육각,사극,8,대한민국,1968,최인현,"조선시대,이조시대,이조야사,과거시험,과거급제,신분격차,신분차이,컬러시네마스코프"
54696,척살자객,무협,4,중국,2020,도원,
1765,팔도기생,사극,8,대한민국,1968,김효천,"조선시대,이조시대,음악영화,민요,기생,역사물,역사바탕,역사 속 인물,컬러시네마스코프,판소리,명창,명기,팔도강산"
2295,꼬마사장과 여비서,코메디,13,대한민국,1971,김성구,"꼬마신랑,시리즈,어른아이,동심,컬러시네마스코프"
6288,창호는 누구에게 물어보나?,드라마,2,대한민국,2003,노재승,"바둑,바둑알,자살,천재,소년기사,바둑최강전,사춘기,단편영화,독립영화"
2287,극성부인,사극,8,대한민국,1971,오영근,"조선시대,이조시대,본처,치맛바람,부부불화,이조야사,컬러시네마스코프,TBC,TV드라마원작,TV연속극원작,내조,신분격차,신분차이"
2289,현상붙은 4인의 악녀,액션,10,대한민국,1971,변장호,"재일동포,아버지의복수,부모의원수,해방직후,보물,보물찾기,불상,컬러시네마스코프,여장부"
53863,무당 장천사,무협,4,중국,2020,진성,
3267,과부,멜로,3,대한민국,1978,조문진,"과부,열녀,한국소설원작,단편소설원작,유교사상,수절,전통윤리,1920년대,리메이크,컬러시네마스코프,가뭄"
515,삼일독립운동,사극,8,대한민국,1959,전창근,"세미다큐멘터리,역사,일제강점기,일제시대,일제치하,31운동,3.1운동,삼일운동,독립운동,흑백스탠다드"
1503,일월,멜로,3,대한민국,1967,이성구,"소설원작,한국소설원작,문예영화,신분격차,계급사회,계급비판,백정,건축가,흑백시네마스코프"
1397,물레방아,멜로,3,대한민국,1966,이만희,"계급갈등,머슴,착취,한국소설원작,문예영화,흑백시네마스코프,단편소설원작,1920년대,일제강점기,일제시대,계급사회,삼각관계,향토물"
1475,산불,멜로,3,대한민국,1967,김수용,"6.25,625,한국전쟁,희곡원작,희곡영화화,흑백시네마스코프,욕망,공비,고립,전쟁의비극,두여자,삼각관계,과부촌,이데올로기대립,1950년대,극사실주의"
1729,아네모네 마담,멜로,3,대한민국,1968,김기덕,"다방,다방마담,한국소설원작,착각,대학생,단편소설원작,연정,여성심리,신청곡,꽃말,흑백시네마스코프"
668,사랑방 손님과 어머니,멜로,3,대한민국,1961,신상옥,"미망인,소설원작,주요섭,문예영화,한국소설원작,과부,하숙생,흑백시네마스코프"
53692,복호무송,무협,4,중국,2020,최염룡,
2468,명동삼국지,액션,10,대한민국,1971,임권택,"폭력/깡패,폭력배,폭력조직,세력다툼,1940년대,조직폭력,조직폭력배,컬러시네마스코프,암흑가의보스"
2471,54번가의 마담,액션,10,대한민국,1971,최영철,"폭력/깡패,암흑가의보스,뒷골목,부녀지간,특수요원,특수정보원,보물찾기,보물,컬러시네마스코프,여두목"
4359,서울의 달빛,드라마,2,대한민국,1992,김문옥,"출세욕,호스트,부동산투기,자궁암,한명구,특별출연,서울의달빛"
2488,의사 안중근,사극,8,대한민국,1972,주동진,"일제강점기,일제시대,일제치하,독립운동가,독립운동,독립투사,안중근,실존인물,역사물,전기영화,이토히로부미,1900년대,위인,항일,구한말,을사조약,컬러시네마스코프"
277,열애,멜로,3,대한민국,1955,홍성기,"기독교,나병,비극적사랑,불치병,자전적이야기,피아니스트,화가,섬,섬마을"
